time,open,high,low,close,Volume,%K,%D,Normalized Vol,Normalized Price,RROF Smooth,Signal Line,EoM +ve,EoM -ve,Compression +ve,Compression -ve
1739548620,1.05126,1.05126,1.0511,1.05112,209,84.00000000000445,92.29166666666738,80,-76.15740740733617,38.90858705677473,33.95474224926476,NaN,NaN,NaN,NaN
1739548680,1.05112,1.05114,1.0509,1.05092,199,41.93548387098738,73.97849462366246,80,-81.8518518518153,14.563230726302853,30.24986197168736,NaN,NaN,NaN,NaN
1739548740,1.0509,1.05097,1.05081,1.05084,236,29.032258064524218,51.655913978505346,90,-52.67676767677447,-9.089626937139988,17.419698375148247,NaN,NaN,NaN,NaN
1739548800,1.05084,1.05087,1.05074,1.05078,258,19.35483870969475,30.10752688173545,90,-45.98662207355128,-25.944542925316014,0.30555462408741696,NaN,NaN,NaN,NaN
1739548860,1.05076,1.05085,1.0507,1.05076,189,11.864406779661655,20.08383451796021,80,-11.862745098082002,-36.31003688554465,-16.30414589540179,NaN,NaN,NaN,0
1739548920,1.05077,1.051,1.05075,1.05087,235,30.508474576278203,20.575906688544872,90,37.666666666671055,-33.20976088655362,-26.18257359325812,NaN,NaN,0,NaN
1739548980,1.05086,1.05095,1.05072,1.05076,203,11.864406779661655,18.079096045200505,80,-59.90165631475164,-40.18085671973885,-33.57681003928764,NaN,NaN,NaN,NaN
1739549040,1.05078,1.051,1.05076,1.05097,153,47.45762711864662,29.94350282486216,60,84.62301587302352,-31.4431309697693,-34.4088654055912,0,NaN,NaN,NaN
1739549100,1.05097,1.05104,1.05076,1.05078,109,15.254237288157919,24.8587570621554,50,-84.52380952376421,-33.59829200005563,-34.46907417981492,NaN,0,NaN,NaN
1739549160,1.05077,1.05098,1.05071,1.05098,108,49.15254237289475,37.2881355932331,50,83.67003367004146,-20.932618080025822,-29.79714170904606,0,NaN,NaN,NaN
1739549220,1.05096,1.051,1.05092,1.05096,132,44.82758620688203,36.41145528931157,60,9.25287356315805,-9.289957932977435,-22.269483776295655,NaN,NaN,0,NaN
1739549280,1.05095,1.05095,1.05056,1.05056,153,0,31.326709526592264,70,-98.48484848484695,-14.201133161674091,-17.973537783349215,NaN,0,NaN,NaN
1739549340,1.05055,1.05082,1.05054,1.05082,142,37.83783783784757,27.5551413482432,60,82.73809523810048,-6.989349695511099,-13.005645538886096,0,NaN,NaN,NaN
1739549400,1.05084,1.05084,1.05056,1.05076,159,30.555555555537566,22.797797797795045,70,-9.841269841300909,-2.7394745733692076,-8.25138033865956,NaN,NaN,NaN,0
1739549460,1.05076,1.05078,1.05046,1.05046,112,0,22.797797797795045,60,-95.4495614034992,-11.76500083973035,-8.562878388999167,NaN,0,NaN,NaN
1739549520,1.05044,1.05058,1.05042,1.0505,109,12.903225806463166,14.48626045400024,60,11.342592592586739,-20.14589116396046,-12.27918103010184,NaN,NaN,0,NaN
1739549580,1.05049,1.05051,1.05028,1.05036,145,10.526315789456769,7.809847198639976,70,-53.38164251211205,-32.28893518850223,-19.319436130652903,NaN,NaN,NaN,NaN
1739549640,1.05036,1.05065,1.05035,1.05054,116,34.21052631578563,19.213355970568518,60,59.3093093093066,-26.500906720306304,-23.224494940016783,NaN,NaN,NaN,NaN
1739549700,1.05053,1.05062,1.0505,1.05052,148,31.578947368399525,25.43859649121397,70,-14.722222222278868,-24.215808591104985,-25.067083904660542,NaN,NaN,NaN,0
1739549760,1.05052,1.05066,1.05044,1.05044,180,21.052631578942755,28.947368421042636,80,-62.121212121196834,-33.73912650693608,-28.652356573398947,NaN,NaN,NaN,NaN
1739549820,1.05046,1.05047,1.05031,1.05036,173,10.526315789456769,21.052631578933013,80,-50.71428571432335,-48.64776122068275,-35.742232435572525,NaN,NaN,NaN,NaN
1739549880,1.05037,1.05041,1.05022,1.05028,173,7.317073170752181,12.965340179717233,80,-48.035087719232,-61.89584514250949,-45.3480116012402,NaN,NaN,NaN,NaN
1739549940,1.05027,1.05038,1.05017,1.05038,145,25.30120481928581,14.381531259831585,70,66.5079365079416,-49.913933601659274,-48.98602625635731,NaN,NaN,NaN,NaN
1739550000,1.05038,1.05041,1.05002,1.05007,211,5.102040816337397,12.573439602125129,90,-84.61538461536418,-49.39447166347586,-50.8900184733231,NaN,NaN,NaN,NaN
1739550060,1.05006,1.05022,1.05006,1.05012,175,10.7526881720407,13.718644602554635,80,8.600427350409676,-47.146194236254594,-50.36600734305706,NaN,NaN,0,NaN
1739550120,1.05011,1.05024,1.0501,1.05016,145,17.073170731709958,10.975966573362683,70,17.460317460280397,-43.96039846498936,-47.88625977374805,NaN,NaN,0,NaN
1739550180,1.05016,1.0503,1.05007,1.0503,126,34.146341463419915,20.65740012239019,70,76.95652173913884,-21.701983380974657,-38.299531360147036,NaN,NaN,NaN,NaN
1739550240,1.05032,1.05046,1.05031,1.05046,84,57.89473684209757,36.37141634574248,50,80.72649572651146,3.0376328997101822,-23.145854970420054,0,NaN,NaN,NaN
1739550300,1.05046,1.05047,1.05036,1.05043,96,64.06250000000597,52.03452610184115,60,-3.12500000001012,19.576788915987407,-6.009231008691969,NaN,NaN,NaN,0
1739550360,1.05042,1.05046,1.05032,1.05041,105,60.93750000002006,60.964912280707864,60,1.349206349286692,30.660749774675974,10.223962533968091,NaN,NaN,0,NaN
1739550420,1.05042,1.05049,1.05041,1.05046,87,68.75000000000217,64.58333333334274,60,36.51960784314242,44.98375055560886,26.044360069543742,NaN,NaN,NaN,NaN
1739550480,1.05047,1.05058,1.05046,1.05048,64,71.87500000002277,67.18750000001499,50,-7.369281045697719,55.43405320507794,39.41858188690254,NaN,NaN,NaN,0
1739550540,1.05045,1.05046,1.05037,1.05038,82,56.25000000002385,65.62500000001626,60,-70.60846560843932,34.08005931878381,40.53240330309312,NaN,NaN,NaN,NaN
1739550600,1.05037,1.05048,1.05028,1.05036,118,60.71428571427438,62.94642857144034,70,-15.000000000061064,12.459338690917656,32.36982274872341,NaN,NaN,NaN,0
1739550660,1.05037,1.05044,1.0503,1.05031,77,51.78571428572562,56.25000000000796,60,-55.595238095209886,-16.944362108453387,14.880505276234658,NaN,NaN,NaN,NaN
1739550720,1.05028,1.05031,1.05022,1.0503,75,50,54.166666666666664,50,13.863636363596774,-31.310093447567642,-4.2237151837502145,NaN,NaN,0,NaN
1739550780,1.0503,1.05034,1.05023,1.05028,116,46.42857142858842,49.40476190477134,70,-15.656565656479641,-47.760377930377615,-23.72510753779331,NaN,NaN,NaN,0
1739550840,1.05028,1.05033,1.05018,1.05024,105,34.61538461539283,43.68131868132708,70,-32.77777777772669,-63.13162455119825,-41.47062002307959,NaN,NaN,NaN,0
